index,reactant,reagent,product,catalyst,methanol_sty,time_h,temperature_c,pressure_bar,h2_co2_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
themecat-413,O=C=O,[H][H],CO,[Pd].[Zn].[Ce].[Ca],0.0753,1.0,229.85000000000002,30.0,3.0,2.4,4.0,79.3,themecat
themecat-414,O=C=O,[H][H],CO,[Pd].[Zn].[Ce],0.0504,1.0,219.85000000000002,30.0,3.0,2.4,3.0,80.9,themecat
themecat-415,O=C=O,[H][H],CO,[Pd].[Ce],0.0095,1.0,219.85000000000002,30.0,3.0,2.4,2.0,92.2,themecat
themecat-416,O=C=O,[H][H],CO,[Pd].[Zn].[Zr],0.0456,1.0,229.85000000000002,30.0,3.0,2.4,3.0,85.5,themecat
themecat-417,O=C=O,[H][H],CO,[Pd].[Zn].[Zr],0.0152,1.0,219.85000000000002,30.0,3.0,2.4,3.0,85.5,themecat
themecat-418,O=C=O,[H][H],CO,[Pd].[Zn].[Zr],0.0556,1.0,249.85000000000002,30.0,3.0,2.4,3.0,85.5,themecat
themecat-419,O=C=O,[H][H],CO,[Pd].[Zn].[Zr],0.0683,1.0,269.85,30.0,3.0,2.4,3.0,85.5,themecat
themecat-420,O=C=O,[H][H],CO,[Pd].[Zn].[Zr],0.0411,1.0,249.85000000000002,10.0,3.0,2.4,3.0,85.5,themecat
themecat-421,O=C=O,[H][H],CO,[Pd].[Zn].[Zr],0.0625,1.0,249.85000000000002,20.0,3.0,2.4,3.0,85.5,themecat
themecat-422,O=C=O,[H][H],CO,[Pd].[Zn].[Zr],0.0557,1.0,249.85000000000002,30.0,3.0,2.4,3.0,85.5,themecat
themecat-423,O=C=O,[H][H],CO,[Pd].[Zn].[Zr].[Ca],0.0575,1.0,229.85000000000002,30.0,3.0,2.4,4.0,84.2,themecat
themecat-424,O=C=O,[H][H],CO,[Pd].[Zn].[Zr].[Ca],0.0304,1.0,219.85000000000002,30.0,3.0,2.4,4.0,84.2,themecat
themecat-425,O=C=O,[H][H],CO,[Pd].[Zn].[Zr].[Ca],0.0753,1.0,249.85000000000002,30.0,3.0,2.4,4.0,84.2,themecat
themecat-426,O=C=O,[H][H],CO,[Pd].[Zn].[Zr].[Ca],0.0795,1.0,269.85,30.0,3.0,2.4,4.0,84.2,themecat
themecat-427,O=C=O,[H][H],CO,[Pd].[Zn].[Zr].[Ca],0.0564,1.0,249.85000000000002,10.0,3.0,2.4,4.0,84.2,themecat
themecat-428,O=C=O,[H][H],CO,[Pd].[Zn].[Zr].[Ca],0.0815,1.0,249.85000000000002,20.0,3.0,2.4,4.0,84.2,themecat
themecat-429,O=C=O,[H][H],CO,[Pd].[Zn].[Zr].[Ca],0.0744,1.0,249.85000000000002,30.0,3.0,2.4,4.0,84.2,themecat
